STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|CITY|STATE
KNG_0605|#0605 Greensboro|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|Greensboro|NC
TMW_0999|#0999 Kng Head Office|TMW|TMW_R99|TMW_R99|TMW_R99_R99A|Brick & Mortar|Open|Atlanta|GA
KNG_0030|#0030 Irving|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|Irving|TX
KNG_0112|#0112West Palm Beach|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|West Palm Beach|FL
KNG_0076|#0076 Flint|KNG|KNG_R04|KNG_R04|KNG_R04_A|Brick & Mortar|Open|Flint|MI
KNG_0020|#0020 Woodbridge|KNG|KNG_R09|KNG_R09|KNG_R09_A|Brick & Mortar|Open|Woodbridge|NJ
KNG_0708|#0708 Chicago|KNG|KNG_R03|KNG_R03|KNG_R03_A|Brick & Mortar|Open|Chicago|IL
KNG_0080|#0080 Seattle|KNG|KNG_R03|KNG_R03|KNG_R03_A|Brick & Mortar|Open|Tukwila|WA
TMW_7001|#7001 Bespoke Joseph Abboud(Custom App Uses This)|TMW|TMW_ZCO|TMW_ZCO|TMW_ZCO_ZCOM|Brick & Mortar|Open|Teaneck|NJ
KNG_0023|#0023Meadows Business Park|KNG|KNG_R10|KNG_R10|KNG_R10_A|Brick & Mortar|Open|Baltimore|MD
KNG_0101|#0101 Orlando|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|Orlando|FL
KNG_0064|#0064Saint Charles Towne Plaza|KNG|KNG_R10|KNG_R10|KNG_R10_A|Brick & Mortar|Open|Waldorf|MD
KNG_0017|#0017Poplar Plaza Shopping Center|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|Memphis|TN
KNG_0705|#0705Place Mall Shopping Center|KNG|KNG_R03|KNG_R03|KNG_R03_A|Brick & Mortar|Open|Orland Park|IL
KNG_0074|#0074Steelyard Commons|KNG|KNG_R04|KNG_R04|KNG_R04_A|Brick & Mortar|Open|Cleveland|OH
KNG_0082|#0082 Tacoma|KNG|KNG_R03|KNG_R03|KNG_R03_A|Brick & Mortar|Open|Tacoma|WA
KNG_0711|#0711Cermak Plaza Shopping Center|KNG|KNG_R03|KNG_R03|KNG_R03_A|Brick & Mortar|Open|Berwyn|IL
KNG_0209|#0209 Deptford|KNG|KNG_R09|KNG_R09|KNG_R09_A|Brick & Mortar|Open|Woodbury|NJ
KNG_0034|#0034Cooper Street Plaza|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|Arlington|TX
KNG_0011|#0011Mall Corners Shopping Center|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|Duluth|GA
JAB_1021|#1021 Business Outreach|JAB|JAB_Z|JAB_ZC|JAB_ZCOM|Brick & Mortar|Open|Houston|TX
KNG_0316|#0316Manhattan Place|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|Harvey|LA
KNG_0319|#0319 Katy|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|Katy|TX
KNG_0304|#0304 Metairie|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|Metairie|LA
KNG_0018|#0018100 Oaks Mall|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|Nashville|TN
KNG_0063|#0063 Rockville Md|KNG|KNG_R10|KNG_R10|KNG_R10_A|Brick & Mortar|Open|Kensington|MD
KNG_0308|#0308 Lewisville|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|Lewisville|TX
KNG_0014|#0014Southlake|KNG|KNG_R01|KNG_R01|KNG_R01_A|Brick & Mortar|Open|Morrow|GA
KNG_0314|#0314Hammond Aire Plaza|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|Baton Rouge|LA
KNG_0608|#0608 Richmond|KNG|KNG_R10|KNG_R10|KNG_R10_A|Brick & Mortar|Open|Richmond|VA
KNG_0215|#0215 Manchester|KNG|KNG_R09|KNG_R09|KNG_R09_A|Brick & Mortar|Open|Manchester|CT
KNG_0909|#0909 Detroit|KNG|KNG_R04|KNG_R04|KNG_R04_A|Brick & Mortar|Open|Detroit|MI
MSP_0102|#0102 Langley|MSP|MSP_C|MSP_C0|MSP_C010|Brick & Mortar|Open|Langley|BC
MSP_0015|#0015 Vancouver - Downtown|MSP|MSP_C|MSP_C0|MSP_C010|Brick & Mortar|Open|Vancouver|BC
MSP_0030|#0030 Regina|MSP|MSP_C|MSP_C0|MSP_C004|Brick & Mortar|Open|Regina|SK
MSP_0003|#0003 Toronto North|MSP|MSP_C|MSP_C0|MSP_C003|Brick & Mortar|Open|Thornhill|ON
MSP_0075|#0075 Montreal Downtown|MSP|MSP_C|MSP_C0|MSP_C006|Brick & Mortar|Open|Montreal|QC
MSP_0123|#0123Park Place|MSP|MSP_C|MSP_C0|MSP_C008|Brick & Mortar|Open|Barrie|ON
MSP_0127|#0127 Chatham, On|MSP|MSP_C|MSP_C0|MSP_C007|Brick & Mortar|Open|Chatham|ON
MSP_0047|#0047 Oakville West|MSP|MSP_C|MSP_C0|MSP_C009|Brick & Mortar|Open|Oakville|ON
MSP_0028|#0028 St. John's Nfld|MSP|MSP_C|MSP_C0|MSP_C001|Brick & Mortar|Open|St. John's|NL
