STORECODE|STORENAME|BRAND|ZONE|REGION|DISTRICT|STORETYPE|STORESTATUS|MGRSNAME|MGRNAME|CITY|STATE|LATITUDE|LONGITUDE
TMW_1111|#1111 CYPRESS TOWNE CENTER|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|JS712|Jordan Shields|CYPRESS|TX|0.0|0.0
TMW_2518|#2518 Prasada North|TMW|TMW_W|TMW_W3|TMW_W302|Brick & Mortar|Open|---|---|Surprise|AZ|0.0|0.0
TMW_2605|#2605 Plaza 9 Shopping Center|TMW|TMW_W|TMW_W3|TMW_W303|Brick & Mortar|Open|---|---|Corvallis|OR|0.0|0.0
TMW_3235|#3235 Arcadian Shores|TMW|TMW_S|TMW_S1|TMW_S103|Brick & Mortar|Open|---|---|Myrtle Beach|SC|0.0|0.0
TMW_3351|#3351 Posner Commons|TMW|TMW_S|TMW_S2|TMW_S201|Brick & Mortar|Open|---|---|Davenport|FL|0.0|0.0
TMW_3233|#3233 University Commons|TMW|TMW_S|TMW_S1|TMW_S105|Brick & Mortar|Open|GLH9|Gary L Hudgins|Burlington|NC|0.0|0.0
TMW_1206|#1206 Gates Of Prosper|TMW|TMW_S|TMW_S5|TMW_S504|Brick & Mortar|Open|---|---|Prosper|TX|0.0|0.0
TMW_1204|#1204 Longview Mall|TMW|TMW_S|TMW_S5|TMW_S502|Brick & Mortar|Open|---|---|Longview|TX|0.0|0.0
TMW_3352|#3352 Coastal Landing|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|DJ193|Deandrea Johnson|Brooksville|FL|0.0|0.0
TMW_1205|#1205 Sherman Commons|TMW|TMW_S|TMW_S5|TMW_S504|Brick & Mortar|Open|DJW75|Dillon Joel Wedel|Sherman|TX|0.0|0.0
TMW_1536|#1536 Fort Smith Pavilion|TMW|TMW_W|TMW_W2|TMW_W203|Brick & Mortar|Open|---|---|Fort Smith|AR|0.0|0.0
TMW_3122|#3122 Gainesville, Ga|TMW|TMW_S|TMW_S4|TMW_S402|Brick & Mortar|Open|DL264|Darya Lewis|Gainesville|GA|0.0|0.0
TMW_3350|#3350 Ocala, Fl|TMW|TMW_S|TMW_S2|TMW_S205|Brick & Mortar|Open|KR278|Kiyannah Reason|Ocala|FL|0.0|0.0
JAB_0076|#0076 Jackson|JAB|JAB_S|JAB_S4|JAB_S405|Brick & Mortar|Open|REM40|Ronald E Mc Leod|Jackson|MS|0.0|0.0
TMW_1203|#1203 Chimney Rock Sc|TMW|TMW_S|TMW_S5|TMW_S507|Brick & Mortar|Open|---|---|Odessa|TX|0.0|0.0
TMW_1108|#1108 Bella Terra|TMW|TMW_S|TMW_S5|TMW_S506|Brick & Mortar|Open|---|---|Richmond|TX|0.0|0.0
TMW_3232|#3232 Franklin Square Iii|TMW|TMW_S|TMW_S1|TMW_S101|Brick & Mortar|Open|ZHF1|Zac Harrison Fleisher|Gastonia|NC|0.0|0.0
KNG_0510|#0510 Jackson|KNG|KNG_R08|KNG_R08|KNG_R08_A|Brick & Mortar|Open|GJ29|Gwendolyn Jordan|Jackson|MS|0.0|0.0
TMW_5228|#5228 Bala Cynwyd Sc|TMW|TMW_N|TMW_N4|TMW_N406|Brick & Mortar|Open|JLF45|Josh Luis Figueroa-Dicupe|Bala Cynwyd|PA|0.0|0.0
KNG_0312|#0312 Humble|KNG|KNG_R02|KNG_R02|KNG_R02_A|Brick & Mortar|Open|ALF9|April L Fontenot|Humble|TX|0.0|0.0
JAB_0060|#0060 N. Causeway Blvd|JAB|JAB_S|JAB_S4|JAB_S403|Brick & Mortar|Open|SMJ18|Shenette Marie Julien|Metairie|LA|0.0|0.0
JAB_0078|#0078 Zelda Place S/C|JAB|JAB_S|JAB_S4|JAB_S401|Brick & Mortar|Open|WVP3|Wlinii Vasily Pryce|Montgomery|AL|0.0|0.0
JAB_0093|#0093 Highland Avenue|JAB|JAB_S|JAB_S4|JAB_S402|Brick & Mortar|Open|AW269|Arnell White III|Augusta|GA|0.0|0.0
JAB_0100|#0100Harbison Crossing|JAB|JAB_S|JAB_S1|JAB_S103|Brick & Mortar|Open|---|---|Columbia|SC|0.0|0.0
JAB_0089|#0089Shops Of Western Plaza|JAB|JAB_S|JAB_S1|JAB_S105|Brick & Mortar|Open|---|---|Knoxville|TN|0.0|0.0
JAB_0021|#0021Kitchin Place|JAB|JAB_S|JAB_S1|JAB_S105|Brick & Mortar|Open|JHB18|Bowers H Bowers|Asheville|NC|0.0|0.0
TMW_3234|#3234 Selma, Nc|TMW|TMW_S|TMW_S1|TMW_S102|Brick & Mortar|Open|---|---|Selma|NC|0.0|0.0
TMW_1114|#1114 San Jacinto Marketplace|TMW|TMW_S|TMW_S5|TMW_S503|Brick & Mortar|Open|---|---|Baytown|TX|0.0|0.0
JAB_0062|#0062 Village @ Pelican Point|JAB|JAB_S|JAB_S4|JAB_S403|Brick & Mortar|Open|OIA1|Ily Ilianova Aroche|Mandeville|LA|0.0|0.0
TMW_3543|#3543 University Town Center|TMW|TMW_N|TMW_N1|TMW_N104|Brick & Mortar|Open|---|---|Morgantown|WV|0.0|0.0
TMW_2519|#2519 Yuma Palms|TMW|TMW_W|TMW_W3|TMW_W304|Brick & Mortar|Open|---|---|Yuma|AZ|0.0|0.0
TMW_5446|#5446 Riverhead Ny|TMW|TMW_N|TMW_N4|TMW_N403|Brick & Mortar|Open|---|---|Riverhead|NY|0.0|0.0
TMW_2950|#2950 Honolulu, Hi|TMW|TMW_W|TMW_W1|TMW_W102|Brick & Mortar|Open|JCM96|James Calvin Mayhorn|Honolulu|HI|21.293977|-157.852893
